Type,Name,SNP,LAB,CON,LD,GRN,REF,OTH
CON,Airdrie and Shotts,,,,,,,
CON,Coatbridge and Chryston,,,,,,,
CON,Cumbernauld and Kilsyth,,,,,,,
CON,East Kilbride,,,,,,,
CON,Falkirk East,,,,,,,
CON,Falkirk West,,,,,,,
CON,"Hamilton, Larkhall and Stonehouse",,,,,,,
CON,Motherwell and Wishaw,,,,,,,
CON,Uddingston and Bellshill,,,,,,,
CON,Glasgow Anniesland,,,,,,,
CON,Glasgow Cathcart,,,,,,,
CON,Glasgow Kelvin,,,,,,,
CON,Glasgow Maryhill and Springburn,,,,,,,
CON,Glasgow Pollok,,,,,,,
CON,Glasgow Provan,,,,,,,
CON,Glasgow Shettleston,,,,,,,
CON,Glasgow Southside,,,,,,,
CON,Rutherglen,,,,,,,
CON,Argyll and Bute,,,,,,,
CON,"Caithness, Sutherland and Ross",,,,,,,
CON,Inverness and Nairn,,,,,,,
CON,Moray,,,,,,,
CON,Na h-Eileanan an Iar,,,,,,,
CON,Orkney,,,,,,,
CON,Shetland,,,,,,,
CON,"Skye, Lochaber and Badenoch",,,,,,,
CON,Almond Valley,,,,,,,
CON,Edinburgh Central,,,,,,,
CON,Edinburgh Eastern,,,,,,,
CON,Edinburgh Northern and Leith,,,,,,,
CON,Edinburgh Pentlands,,,,,,,
CON,Edinburgh Southern,,,,,,,
CON,Edinburgh Western,,,,,,,
CON,Linlithgow,,,,,,,
CON,Midlothian North and Musselburgh,,,,,,,
CON,Clackmannanshire and Dunblane,,,,,,,
CON,Cowdenbeath,,,,,,,
CON,Dunfermline,,,,,,,
CON,Kirkcaldy,,,,,,,
CON,Mid Fife and Glenrothes,,,,,,,
CON,North East Fife,,,,,,,
CON,Perthshire North,,,,,,,
CON,Perthshire South and Kinross-shire,,,,,,,
CON,Stirling,,,,,,,
CON,Aberdeen Central,,,,,,,
CON,Aberdeen Donside,,,,,,,
CON,Aberdeen South and North Kincardine,,,,,,,
CON,Aberdeenshire East,,,,,,,
CON,Aberdeenshire West,,,,,,,
CON,Angus North and Mearns,,,,,,,
CON,Angus South,,,,,,,
CON,Banffshire and Buchan Coast,,,,,,,
CON,Dundee City East,,,,,,,
CON,Dundee City West,,,,,,,
CON,Ayr,,,,,,,
CON,"Carrick, Cumnock and Doon Valley",,,,,,,
CON,Clydesdale,,,,,,,
CON,Dumfriesshire,,,,,,,
CON,East Lothian,,,,,,,
CON,"Ettrick, Roxburgh and Berwickshire",,,,,,,
CON,Galloway and West Dumfries,,,,,,,
CON,Kilmarnock and Irvine Valley,,,,,,,
CON,"Midlothian South, Tweeddale and Lauderdale",,,,,,,
CON,Clydebank and Milngavie,,,,,,,
CON,Cunninghame North,,,,,,,
CON,Cunninghame South,,,,,,,
CON,Dumbarton,,,,,,,
CON,Eastwood,,,,,,,
CON,Greenock and Inverclyde,,,,,,,
CON,Paisley,,,,,,,
CON,Renfrewshire North and West,,,,,,,
CON,Renfrewshire South,,,,,,,
CON,Strathkelvin and Bearsden,,,,,,,
REG,Central Scotland,,,,,,,
REG,Glasgow,,,,,,,
REG,Highlands and Islands,,,,,,,
REG,Lothian,,,,,,,
REG,Mid Scotland and Fife,,,,,,,
REG,North East Scotland,,,,,,,
REG,South Scotland,,,,,,,
REG,West Scotland,,,,,,,
